iter	RMSE
255	39117.9529
256	39054.52802
257	38973.68528
258	38923.36185
259	38787.3576
260	38572.39039
261	38421.08262
262	38314.14031
263	38232.21176
264	38046.15418
265	37973.15245
266	37916.10639
267	37873.87404
268	37815.43676
269	37774.58871
270	37651.26473
271	37601.90268
272	37554.5524
273	37496.64804
274	37482.61743
275	37379.44599
276	37245.39637
277	37069.08654
278	37035.37851
279	36979.74563
280	36842.40245
281	36684.57156
282	36637.92397
283	36524.45662
284	36468.18192
285	36449.2137
286	36374.92982
287	36287.74782
288	36229.59872
289	36123.26827
290	36100.18868
291	36078.37742
292	36034.26278
293	36013.67028
294	35964.53519
295	35908.3113
296	35816.57446
297	35739.72305
298	35697.62178
299	35633.54746
300	35523.94028
301	35484.61352
302	35442.06151
303	35312.01588
304	35217.4954
305	35176.54326
306	35088.45077
307	35016.36571
308	35000.7218
309	34937.68338
310	34817.8151
311	34775.44375
312	34723.58154
313	34686.30324
314	34642.97577
315	34631.3091
316	34597.65795
317	34512.46756
318	34430.43861
319	34360.43128
320	34313.61004
321	34249.68049
322	34207.11749
323	34131.83166
324	34085.99036
325	34021.42822
326	33983.87809
327	33959.88789
328	33899.8289
329	33850.46529
330	33774.68147
331	33687.96671
332	33669.32004
333	33625.81202
334	33549.13197
335	33532.23418
336	33487.94374
337	33433.17838
338	33385.95285
339	33353.02492
340	33330.78161
341	33287.79567
342	33236.8848
343	33169.98081
344	33166.05868
345	33089.60768
346	33017.28863
347	32950.11553
348	32880.21228
349	32840.39189
350	32827.55635
351	32725.87909
352	32661.15086
353	32647.99691
354	32591.24627
355	32529.83168
356	32465.23852
357	32454.9522
358	32417.07635
359	32339.59339
360	32162.41613
361	32090.21749
362	32034.77245
363	31985.85991
364	31956.03833
365	31920.45221
366	31892.28263
367	31838.37856
368	31789.49587
369	31729.747
370	31678.69233
371	31667.82695
372	31639.30464
373	31628.86685
374	31603.26284
375	31575.76316
376	31521.71656
377	31486.93473
378	31417.58226
379	31394.80273
380	31345.52087
381	31335.84534
382	31292.40706
383	31252.47535
384	31219.20829
385	31125.58134
386	31090.53325
387	31064.08874
388	31013.30098
389	30965.22994
390	30913.10548
